Merk,Model,Uitvoering,Modeljaar,Fiscale waarde,Energiebron,Transmissie,CO2-Uitstoot (g/km),Aantal zitplaatsen,Looptijd,Jaarkilometrage,Leaseprijs/mnd
Alfa Romeo,Junior,BEV 156pk 54kWh Elettrica,2024,38000,Elektrisch,Automaat,0,5,48,20000,666
Alfa Romeo,Junior,BEV 156pk 54kWh Elettrica,2024,38000,Elektrisch,Automaat,0,5,48,30000,710
Alfa Romeo,Junior,BEV 156pk 54kWh Elettrica,2024,38000,Elektrisch,Automaat,0,5,48,40000,753
Alfa Romeo,Junior,BEV 156pk 54kWh Elettrica,2024,38000,Elektrisch,Automaat,0,5,60,20000,621
Alfa Romeo,Junior,BEV 156pk 54kWh Elettrica,2024,38000,Elektrisch,Automaat,0,5,60,30000,663
Alfa Romeo,Junior,BEV 156pk 54kWh Elettrica,2024,38000,Elektrisch,Automaat,0,5,60,40000,707
Alfa Romeo,Junior,BEV 156pk 54kWh Elettrica Speciale,2024,40000,Elektrisch,Automaat,0,5,36,20000,766
Alfa Romeo,Junior,BEV 156pk 54kWh Elettrica Speciale,2024,40000,Elektrisch,Automaat,0,5,36,30000,814
Alfa Romeo,Junior,BEV 156pk 54kWh Elettrica Speciale,2024,40000,Elektrisch,Automaat,0,5,36,40000,861
Alfa Romeo,Junior,BEV 156pk 54kWh Elettrica Speciale,2024,40000,Elektrisch,Automaat,0,5,48,20000,692
Alfa Romeo,Junior,BEV 156pk 54kWh Elettrica Speciale,2024,40000,Elektrisch,Automaat,0,5,48,30000,737
Alfa Romeo,Junior,BEV 156pk 54kWh Elettrica Speciale,2024,40000,Elektrisch,Automaat,0,5,48,40000,781
Alfa Romeo,Junior,BEV 156pk 54kWh Elettrica Speciale,2024,40000,Elektrisch,Automaat,0,5,60,20000,645
Alfa Romeo,Junior,BEV 156pk 54kWh Elettrica Speciale,2024,40000,Elektrisch,Automaat,0,5,60,30000,688
Alfa Romeo,Junior,BEV 156pk 54kWh Elettrica Speciale,2024,40000,Elektrisch,Automaat,0,5,60,40000,732
Alfa Romeo,Junior,1.2 Turbo 136pk eDCT6 Ibrida Speciale,2024,36250,Benzine,Automaat,109,5,36,20000,667
Alfa Romeo,Junior,1.2 Turbo 136pk eDCT6 Ibrida Speciale,2024,36250,Benzine,Automaat,109,5,36,30000,726
Alfa Romeo,Junior,1.2 Turbo 136pk eDCT6 Ibrida Speciale,2024,36250,Benzine,Automaat,109,5,36,40000,784
Alfa Romeo,Junior,1.2 Turbo 136pk eDCT6 Ibrida Speciale,2024,36250,Benzine,Automaat,109,5,48,20000,639
Alfa Romeo,Junior,1.2 Turbo 136pk eDCT6 Ibrida Speciale,2024,36250,Benzine,Automaat,109,5,48,30000,695
Alfa Romeo,Junior,1.2 Turbo 136pk eDCT6 Ibrida Speciale,2024,36250,Benzine,Automaat,109,5,48,40000,750
Alfa Romeo,Junior,1.2 Turbo 136pk eDCT6 Ibrida Speciale,2024,36250,Benzine,Automaat,109,5,60,20000,621
Alfa Romeo,Junior,1.2 Turbo 136pk eDCT6 Ibrida Speciale,2024,36250,Benzine,Automaat,109,5,60,30000,675
Alfa Romeo,Junior,1.2 Turbo 136pk eDCT6 Ibrida Speciale,2024,36250,Benzine,Automaat,109,5,60,40000,734
Alfa Romeo,Junior,1.2 Turbo 136pk eDCT6 Ibrida,2024,34250,Benzine,Automaat,109,5,36,20000,637
Alfa Romeo,Junior,1.2 Turbo 136pk eDCT6 Ibrida,2024,34250,Benzine,Automaat,109,5,36,30000,693
Alfa Romeo,Junior,1.2 Turbo 136pk eDCT6 Ibrida,2024,34250,Benzine,Automaat,109,5,36,40000,748
Alfa Romeo,Junior,1.2 Turbo 136pk eDCT6 Ibrida,2024,34250,Benzine,Automaat,109,5,48,20000,611
Alfa Romeo,Junior,1.2 Turbo 136pk eDCT6 Ibrida,2024,34250,Benzine,Automaat,109,5,48,30000,665
Alfa Romeo,Junior,1.2 Turbo 136pk eDCT6 Ibrida,2024,34250,Benzine,Automaat,109,5,48,40000,717
Alfa Romeo,Junior,1.2 Turbo 136pk eDCT6 Ibrida,2024,34250,Benzine,Automaat,109,5,60,20000,595
Alfa Romeo,Junior,1.2 Turbo 136pk eDCT6 Ibrida,2024,34250,Benzine,Automaat,109,5,60,30000,646
Alfa Romeo,Junior,1.2 Turbo 136pk eDCT6 Ibrida,2024,34250,Benzine,Automaat,109,5,60,40000,703
Alfa Romeo,Junior,BEV 280pk 54kWh Elettrica Veloce,2024,47000,Elektrisch,Automaat,0,5,36,20000,886
Alfa Romeo,Junior,BEV 280pk 54kWh Elettrica Veloce,2024,47000,Elektrisch,Automaat,0,5,36,30000,949
Alfa Romeo,Junior,BEV 280pk 54kWh Elettrica Veloce,2024,47000,Elektrisch,Automaat,0,5,36,40000,1009
Alfa Romeo,Junior,BEV 280pk 54kWh Elettrica Veloce,2024,47000,Elektrisch,Automaat,0,5,48,20000,801
Alfa Romeo,Junior,BEV 280pk 54kWh Elettrica Veloce,2024,47000,Elektrisch,Automaat,0,5,48,30000,859
Alfa Romeo,Junior,BEV 280pk 54kWh Elettrica Veloce,2024,47000,Elektrisch,Automaat,0,5,48,40000,916
Alfa Romeo,Junior,BEV 280pk 54kWh Elettrica Veloce,2024,47000,Elektrisch,Automaat,0,5,60,20000,746
Alfa Romeo,Junior,BEV 280pk 54kWh Elettrica Veloce,2024,47000,Elektrisch,Automaat,0,5,60,30000,801
Alfa Romeo,Junior,BEV 280pk 54kWh Elettrica Veloce,2024,47000,Elektrisch,Automaat,0,5,60,40000,859
Alfa Romeo,Stelvio,2.0 GME 280 Veloce AWD Aut,2024,92900,Benzine,Automaat,192,5,36,20000,1710
Alfa Romeo,Stelvio,2.0 GME 280 Veloce AWD Aut,2024,92900,Benzine,Automaat,192,5,36,30000,1827
Alfa Romeo,Stelvio,2.0 GME 280 Veloce AWD Aut,2024,92900,Benzine,Automaat,192,5,36,40000,1940
Alfa Romeo,Stelvio,2.0 GME 280 Veloce AWD Aut,2024,92900,Benzine,Automaat,192,5,48,20000,1558
Alfa Romeo,Stelvio,2.0 GME 280 Veloce AWD Aut,2024,92900,Benzine,Automaat,192,5,48,30000,1667
Alfa Romeo,Stelvio,2.0 GME 280 Veloce AWD Aut,2024,92900,Benzine,Automaat,192,5,60,20000,1459
Alfa Romeo,Stelvio,2.0 GME 280 Veloce AWD Aut,2024,92900,Benzine,Automaat,192,5,60,30000,1561
Alfa Romeo,Stelvio,2.0 GME 280 Veloce AWD Aut,2024,92900,Benzine,Automaat,192,5,60,40000,1668
Alfa Romeo,Tonale,1.3T Plug-In Hybrid 280pk Aut6 AWD Veloce,2025,55900,Hybride,Automaat,31,5,36,20000,1101
Alfa Romeo,Tonale,1.3T Plug-In Hybrid 280pk Aut6 AWD Veloce,2025,55900,Hybride,Automaat,31,5,36,30000,1176
Alfa Romeo,Tonale,1.3T Plug-In Hybrid 280pk Aut6 AWD Veloce,2025,55900,Hybride,Automaat,31,5,36,40000,1248
Alfa Romeo,Tonale,1.3T Plug-In Hybrid 280pk Aut6 AWD Veloce,2025,55900,Hybride,Automaat,31,5,48,20000,1001
Alfa Romeo,Tonale,1.3T Plug-In Hybrid 280pk Aut6 AWD Veloce,2025,55900,Hybride,Automaat,31,5,48,30000,1072
Alfa Romeo,Tonale,1.3T Plug-In Hybrid 280pk Aut6 AWD Veloce,2025,55900,Hybride,Automaat,31,5,48,40000,1141
Alfa Romeo,Tonale,1.3T Plug-In Hybrid 280pk Aut6 AWD Veloce,2025,55900,Hybride,Automaat,31,5,60,20000,939
Alfa Romeo,Tonale,1.3T Plug-In Hybrid 280pk Aut6 AWD Veloce,2025,55900,Hybride,Automaat,31,5,60,30000,1008
Alfa Romeo,Tonale,1.3T Plug-In Hybrid 280pk Aut6 AWD Veloce,2025,55900,Hybride,Automaat,31,5,60,40000,1083
Alfa Romeo,Tonale,1.3T Plug-In Hybrid 280pk Edizione Business,2025,48850,Hybride,Automaat,30,5,36,20000,994
Alfa Romeo,Tonale,1.3T Plug-In Hybrid 280pk Edizione Business,2025,48850,Hybride,Automaat,30,5,36,30000,1065
Alfa Romeo,Tonale,1.3T Plug-In Hybrid 280pk Edizione Business,2025,48850,Hybride,Automaat,30,5,36,40000,1133
Alfa Romeo,Tonale,1.3T Plug-In Hybrid 280pk Edizione Business,2025,48850,Hybride,Automaat,30,5,48,20000,908
Alfa Romeo,Tonale,1.3T Plug-In Hybrid 280pk Edizione Business,2025,48850,Hybride,Automaat,30,5,48,30000,976
Alfa Romeo,Tonale,1.3T Plug-In Hybrid 280pk Edizione Business,2025,48850,Hybride,Automaat,30,5,48,40000,1042
Alfa Romeo,Tonale,1.3T Plug-In Hybrid 280pk Edizione Business,2025,48850,Hybride,Automaat,30,5,60,20000,857
Alfa Romeo,Tonale,1.3T Plug-In Hybrid 280pk Edizione Business,2025,48850,Hybride,Automaat,30,5,60,30000,922
Alfa Romeo,Tonale,1.3T Plug-In Hybrid 280pk Edizione Business,2025,48850,Hybride,Automaat,30,5,60,40000,994
Alpine,A110,1.8 TCe 252 Auto,2024,75190,Benzine,Automaat,152,2,36,20000,1376
Alpine,A110,1.8 TCe 252 Auto,2024,75190,Benzine,Automaat,152,2,36,30000,1461
Alpine,A110,1.8 TCe 252 Auto,2024,75190,Benzine,Automaat,152,2,36,40000,1542
Alpine,A110,1.8 TCe 252 Auto,2024,75190,Benzine,Automaat,152,2,48,20000,1236
Alpine,A110,1.8 TCe 252 Auto,2024,75190,Benzine,Automaat,152,2,48,30000,1314
Alpine,A110,1.8 TCe 252 Auto,2024,75190,Benzine,Automaat,152,2,48,40000,1389
Alpine,A110,1.8 TCe 252 Auto,2024,75190,Benzine,Automaat,152,2,60,20000,1147
Alpine,A110,1.8 TCe 252 Auto,2024,75190,Benzine,Automaat,152,2,60,30000,1220
Alpine,A110,1.8 TCe 252 Auto,2024,75190,Benzine,Automaat,152,2,60,40000,1298
Alpine,A110,1.8 TCe 300 S Auto,2024,89990,Benzine,Automaat,157,2,36,20000,1620
Alpine,A110,1.8 TCe 300 S Auto,2024,89990,Benzine,Automaat,157,2,36,30000,1718
Alpine,A110,1.8 TCe 300 S Auto,2024,89990,Benzine,Automaat,157,2,36,40000,1812
Alpine,A110,1.8 TCe 300 S Auto,2024,89990,Benzine,Automaat,157,2,48,20000,1450
Alpine,A110,1.8 TCe 300 S Auto,2024,89990,Benzine,Automaat,157,2,48,30000,1540
Alpine,A110,1.8 TCe 300 S Auto,2024,89990,Benzine,Automaat,157,2,48,40000,1628
Alpine,A110,1.8 TCe 300 S Auto,2024,89990,Benzine,Automaat,157,2,60,20000,1341
Alpine,A110,1.8 TCe 300 S Auto,2024,89990,Benzine,Automaat,157,2,60,30000,1425
Alpine,A110,1.8 TCe 300 S Auto,2024,89990,Benzine,Automaat,157,2,60,40000,1515
Alpine,A110,1.8 TCe 300 GT Auto,2024,86290,Benzine,Automaat,154,2,36,20000,1563
Alpine,A110,1.8 TCe 300 GT Auto,2024,86290,Benzine,Automaat,154,2,36,30000,1661
Alpine,A110,1.8 TCe 300 GT Auto,2024,86290,Benzine,Automaat,154,2,36,40000,1754
Alpine,A110,1.8 TCe 300 GT Auto,2024,86290,Benzine,Automaat,154,2,48,20000,1401
Alpine,A110,1.8 TCe 300 GT Auto,2024,86290,Benzine,Automaat,154,2,48,30000,1491
Alpine,A110,1.8 TCe 300 GT Auto,2024,86290,Benzine,Automaat,154,2,48,40000,1578
Alpine,A110,1.8 TCe 300 GT Auto,2024,86290,Benzine,Automaat,154,2,60,20000,1297
Alpine,A110,1.8 TCe 300 GT Auto,2024,86290,Benzine,Automaat,154,2,60,30000,1382
Alpine,A110,1.8 TCe 300 GT Auto,2024,86290,Benzine,Automaat,154,2,60,40000,1472
Alpine,A290,BEV 52kWh 130kW GT auto,2024,37650,Elektrisch,Automaat,0,5,36,20000,749
Alpine,A290,BEV 52kWh 130kW GT auto,2024,37650,Elektrisch,Automaat,0,5,36,30000,800
Alpine,A290,BEV 52kWh 130kW GT auto,2024,37650,Elektrisch,Automaat,0,5,36,40000,848
Alpine,A290,BEV 52kWh 130kW GT auto,2024,37650,Elektrisch,Automaat,0,5,48,20000,680
Alpine,A290,BEV 52kWh 130kW GT auto,2024,37650,Elektrisch,Automaat,0,5,48,30000,727
Alpine,A290,BEV 52kWh 130kW GT auto,2024,37650,Elektrisch,Automaat,0,5,48,40000,773
Alpine,A290,BEV 52kWh 130kW GT auto,2024,37650,Elektrisch,Automaat,0,5,60,20000,635
Alpine,A290,BEV 52kWh 130kW GT auto,2024,37650,Elektrisch,Automaat,0,5,60,30000,679
Alpine,A290,BEV 52kWh 130kW GT auto,2024,37650,Elektrisch,Automaat,0,5,60,40000,725
Alpine,A290,BEV 52kWh 160kW GT Performance auto,2024,40850,Elektrisch,Automaat,0,5,36,20000,801
Alpine,A290,BEV 52kWh 160kW GT Performance auto,2024,40850,Elektrisch,Automaat,0,5,36,30000,855
Alpine,A290,BEV 52kWh 160kW GT Performance auto,2024,40850,Elektrisch,Automaat,0,5,36,40000,907
Alpine,A290,BEV 52kWh 160kW GT Performance auto,2024,40850,Elektrisch,Automaat,0,5,48,20000,726
Alpine,A290,BEV 52kWh 160kW GT Performance auto,2024,40850,Elektrisch,Automaat,0,5,48,30000,776
Alpine,A290,BEV 52kWh 160kW GT Performance auto,2024,40850,Elektrisch,Automaat,0,5,48,40000,824
Alpine,A290,BEV 52kWh 160kW GT Performance auto,2024,40850,Elektrisch,Automaat,0,5,60,20000,677
Alpine,A290,BEV 52kWh 160kW GT Performance auto,2024,40850,Elektrisch,Automaat,0,5,60,30000,724
Alpine,A290,BEV 52kWh 160kW GT Performance auto,2024,40850,Elektrisch,Automaat,0,5,60,40000,772
Alpine,A290,BEV 52kWh 130kW GT Premium auto,2024,40650,Elektrisch,Automaat,0,5,36,20000,796
Alpine,A290,BEV 52kWh 130kW GT Premium auto,2024,40650,Elektrisch,Automaat,0,5,36,30000,849
Alpine,A290,BEV 52kWh 130kW GT Premium auto,2024,40650,Elektrisch,Automaat,0,5,36,40000,899
Alpine,A290,BEV 52kWh 130kW GT Premium auto,2024,40650,Elektrisch,Automaat,0,5,48,20000,721
Alpine,A290,BEV 52kWh 130kW GT Premium auto,2024,40650,Elektrisch,Automaat,0,5,48,30000,770
Alpine,A290,BEV 52kWh 130kW GT Premium auto,2024,40650,Elektrisch,Automaat,0,5,48,40000,817
Alpine,A290,BEV 52kWh 130kW GT Premium auto,2024,40650,Elektrisch,Automaat,0,5,60,20000,672
Alpine,A290,BEV 52kWh 130kW GT Premium auto,2024,40650,Elektrisch,Automaat,0,5,60,30000,718
Alpine,A290,BEV 52kWh 130kW GT Premium auto,2024,40650,Elektrisch,Automaat,0,5,60,40000,765
Alpine,A290,BEV 52kWh 160kW GTS auto,2024,43650,Elektrisch,Automaat,0,5,36,20000,846
Alpine,A290,BEV 52kWh 160kW GTS auto,2024,43650,Elektrisch,Automaat,0,5,36,30000,901
Alpine,A290,BEV 52kWh 160kW GTS auto,2024,43650,Elektrisch,Automaat,0,5,36,40000,954
Alpine,A290,BEV 52kWh 160kW GTS auto,2024,43650,Elektrisch,Automaat,0,5,48,20000,764
Alpine,A290,BEV 52kWh 160kW GTS auto,2024,43650,Elektrisch,Automaat,0,5,48,30000,816
Alpine,A290,BEV 52kWh 160kW GTS auto,2024,43650,Elektrisch,Automaat,0,5,48,40000,866
Alpine,A290,BEV 52kWh 160kW GTS auto,2024,43650,Elektrisch,Automaat,0,5,60,20000,712
Alpine,A290,BEV 52kWh 160kW GTS auto,2024,43650,Elektrisch,Automaat,0,5,60,30000,760
Alpine,A290,BEV 52kWh 160kW GTS auto,2024,43650,Elektrisch,Automaat,0,5,60,40000,810
Alpine,A290,BEV 52kWh 160kW Première Edition auto,2024,45150,Elektrisch,Automaat,0,5,36,20000,873
Alpine,A290,BEV 52kWh 160kW Première Edition auto,2024,45150,Elektrisch,Automaat,0,5,36,30000,929
Alpine,A290,BEV 52kWh 160kW Première Edition auto,2024,45150,Elektrisch,Automaat,0,5,36,40000,984
Alpine,A290,BEV 52kWh 160kW Première Edition auto,2024,45150,Elektrisch,Automaat,0,5,48,20000,788
Alpine,A290,BEV 52kWh 160kW Première Edition auto,2024,45150,Elektrisch,Automaat,0,5,48,30000,840
Alpine,A290,BEV 52kWh 160kW Première Edition auto,2024,45150,Elektrisch,Automaat,0,5,48,40000,890
Alpine,A290,BEV 52kWh 160kW Première Edition auto,2024,45150,Elektrisch,Automaat,0,5,60,20000,732
Alpine,A290,BEV 52kWh 160kW Première Edition auto,2024,45150,Elektrisch,Automaat,0,5,60,30000,781
Alpine,A290,BEV 52kWh 160kW Première Edition auto,2024,45150,Elektrisch,Automaat,0,5,60,40000,832
Audi,A1 Sportback,35 TFSI S tronic S edition,2025,39640,Benzine,Automaat,128,5,36,20000,761
Audi,A1 Sportback,35 TFSI S tronic S edition,2025,39640,Benzine,Automaat,128,5,36,30000,813
Audi,A1 Sportback,35 TFSI S tronic S edition,2025,39640,Benzine,Automaat,128,5,36,40000,863
Audi,A1 Sportback,35 TFSI S tronic S edition,2025,39640,Benzine,Automaat,128,5,48,20000,704
Audi,A1 Sportback,35 TFSI S tronic S edition,2025,39640,Benzine,Automaat,128,5,48,30000,753
Audi,A1 Sportback,35 TFSI S tronic S edition,2025,39640,Benzine,Automaat,128,5,48,40000,800
Audi,A1 Sportback,35 TFSI S tronic S edition,2025,39640,Benzine,Automaat,128,5,60,20000,667
Audi,A1 Sportback,35 TFSI S tronic S edition,2025,39640,Benzine,Automaat,128,5,60,30000,713
Audi,A1 Sportback,35 TFSI S tronic S edition,2025,39640,Benzine,Automaat,128,5,60,40000,762
Audi,A1 Sportback,30 TFSI S edition,2025,36040,Benzine,Handgeschakeld,126,5,36,20000,699
Audi,A1 Sportback,30 TFSI S edition,2025,36040,Benzine,Handgeschakeld,126,5,36,30000,748
Audi,A1 Sportback,30 TFSI S edition,2025,36040,Benzine,Handgeschakeld,126,5,36,40000,796
Audi,A1 Sportback,30 TFSI S edition,2025,36040,Benzine,Handgeschakeld,126,5,48,20000,647
Audi,A1 Sportback,30 TFSI S edition,2025,36040,Benzine,Handgeschakeld,126,5,48,30000,694
Audi,A1 Sportback,30 TFSI S edition,2025,36040,Benzine,Handgeschakeld,126,5,48,40000,739
Audi,A1 Sportback,30 TFSI S edition,2025,36040,Benzine,Handgeschakeld,126,5,60,20000,614
Audi,A1 Sportback,30 TFSI S edition,2025,36040,Benzine,Handgeschakeld,126,5,60,30000,658
Audi,A1 Sportback,30 TFSI S edition,2025,36040,Benzine,Handgeschakeld,126,5,60,40000,706
Audi,A1 Sportback,30 TFSI S tronic S edition,2025,39040,Benzine,Automaat,129,5,36,20000,745
Audi,A1 Sportback,30 TFSI S tronic S edition,2025,39040,Benzine,Automaat,129,5,36,30000,796
Audi,A1 Sportback,30 TFSI S tronic S edition,2025,39040,Benzine,Automaat,129,5,36,40000,845
Audi,A1 Sportback,30 TFSI S tronic S edition,2025,39040,Benzine,Automaat,129,5,48,20000,688
Audi,A1 Sportback,30 TFSI S tronic S edition,2025,39040,Benzine,Automaat,129,5,48,30000,736
Audi,A1 Sportback,30 TFSI S tronic S edition,2025,39040,Benzine,Automaat,129,5,48,40000,783
Audi,A1 Sportback,30 TFSI S tronic S edition,2025,39040,Benzine,Automaat,129,5,60,20000,652
Audi,A1 Sportback,30 TFSI S tronic S edition,2025,39040,Benzine,Automaat,129,5,60,30000,697
Audi,A1 Sportback,30 TFSI S tronic S edition,2025,39040,Benzine,Automaat,129,5,60,40000,747
Audi,A1 Sportback,30 TFSI S tronic Advanced edition,2025,37140,Benzine,Automaat,128,5,36,20000,717
Audi,A1 Sportback,30 TFSI S tronic Advanced edition,2025,37140,Benzine,Automaat,128,5,36,30000,767
Audi,A1 Sportback,30 TFSI S tronic Advanced edition,2025,37140,Benzine,Automaat,128,5,36,40000,815
Audi,A1 Sportback,30 TFSI S tronic Advanced edition,2025,37140,Benzine,Automaat,128,5,48,20000,663
Audi,A1 Sportback,30 TFSI S tronic Advanced edition,2025,37140,Benzine,Automaat,128,5,48,30000,710
Audi,A1 Sportback,30 TFSI S tronic Advanced edition,2025,37140,Benzine,Automaat,128,5,48,40000,756
Audi,A1 Sportback,30 TFSI S tronic Advanced edition,2025,37140,Benzine,Automaat,128,5,60,20000,629
Audi,A1 Sportback,30 TFSI S tronic Advanced edition,2025,37140,Benzine,Automaat,128,5,60,30000,674
Audi,A1 Sportback,30 TFSI S tronic Advanced edition,2025,37140,Benzine,Automaat,128,5,60,40000,722
Audi,A1 Sportback,30 TFSI Advanced edition,2025,34440,Benzine,Handgeschakeld,125,5,36,20000,673
Audi,A1 Sportback,30 TFSI Advanced edition,2025,34440,Benzine,Handgeschakeld,125,5,36,30000,721
Audi,A1 Sportback,30 TFSI Advanced edition,2025,34440,Benzine,Handgeschakeld,125,5,36,40000,768
Audi,A1 Sportback,30 TFSI Advanced edition,2025,34440,Benzine,Handgeschakeld,125,5,48,20000,624
Audi,A1 Sportback,30 TFSI Advanced edition,2025,34440,Benzine,Handgeschakeld,125,5,48,30000,670
Audi,A1 Sportback,30 TFSI Advanced edition,2025,34440,Benzine,Handgeschakeld,125,5,48,40000,714
Audi,A1 Sportback,30 TFSI Advanced edition,2025,34440,Benzine,Handgeschakeld,125,5,60,20000,594
Audi,A1 Sportback,30 TFSI Advanced edition,2025,34440,Benzine,Handgeschakeld,125,5,60,30000,637
Audi,A1 Sportback,30 TFSI Advanced edition,2025,34440,Benzine,Handgeschakeld,125,5,60,40000,684
Audi,A1 Sportback,35 TFSI S tronic Advanced edition,2025,37740,Benzine,Automaat,127,5,36,20000,733
Audi,A1 Sportback,35 TFSI S tronic Advanced edition,2025,37740,Benzine,Automaat,127,5,36,30000,784
Audi,A1 Sportback,35 TFSI S tronic Advanced edition,2025,37740,Benzine,Automaat,127,5,36,40000,833
Audi,A1 Sportback,35 TFSI S tronic Advanced edition,2025,37740,Benzine,Automaat,127,5,48,20000,679
Audi,A1 Sportback,35 TFSI S tronic Advanced edition,2025,37740,Benzine,Automaat,127,5,48,30000,727
Audi,A1 Sportback,35 TFSI S tronic Advanced edition,2025,37740,Benzine,Automaat,127,5,48,40000,773
Audi,A1 Sportback,35 TFSI S tronic Advanced edition,2025,37740,Benzine,Automaat,127,5,60,20000,645
Audi,A1 Sportback,35 TFSI S tronic Advanced edition,2025,37740,Benzine,Automaat,127,5,60,30000,690
Audi,A1 Sportback,35 TFSI S tronic Advanced edition,2025,37740,Benzine,Automaat,127,5,60,40000,738
Audi,A1 Sportback,25 TFSI S edition,2025,34540,Benzine,Handgeschakeld,125,5,36,20000,672
Audi,A1 Sportback,25 TFSI S edition,2025,34540,Benzine,Handgeschakeld,125,5,36,30000,719
Audi,A1 Sportback,25 TFSI S edition,2025,34540,Benzine,Handgeschakeld,125,5,36,40000,765
Audi,A1 Sportback,25 TFSI S edition,2025,34540,Benzine,Handgeschakeld,125,5,48,20000,623
Audi,A1 Sportback,25 TFSI S edition,2025,34540,Benzine,Handgeschakeld,125,5,48,30000,668
Audi,A1 Sportback,25 TFSI S edition,2025,34540,Benzine,Handgeschakeld,125,5,48,40000,712
Audi,A1 Sportback,25 TFSI S edition,2025,34540,Benzine,Handgeschakeld,125,5,60,20000,592
Audi,A1 Sportback,25 TFSI S edition,2025,34540,Benzine,Handgeschakeld,125,5,60,30000,635
Audi,A1 Sportback,25 TFSI S edition,2025,34540,Benzine,Handgeschakeld,125,5,60,40000,681
Audi,A1 Sportback,25 TFSI Advanced edition,2025,32940,Benzine,Handgeschakeld,124,5,36,20000,650
Audi,A1 Sportback,25 TFSI Advanced edition,2025,32940,Benzine,Handgeschakeld,124,5,36,30000,695
Audi,A1 Sportback,25 TFSI Advanced edition,2025,32940,Benzine,Handgeschakeld,124,5,36,40000,740
Audi,A1 Sportback,25 TFSI Advanced edition,2025,32940,Benzine,Handgeschakeld,124,5,48,20000,603
Audi,A1 Sportback,25 TFSI Advanced edition,2025,32940,Benzine,Handgeschakeld,124,5,48,30000,647
Audi,A1 Sportback,25 TFSI Advanced edition,2025,32940,Benzine,Handgeschakeld,124,5,48,40000,689
Audi,A1 Sportback,25 TFSI Advanced edition,2025,32940,Benzine,Handgeschakeld,124,5,60,20000,573
Audi,A1 Sportback,25 TFSI Advanced edition,2025,32940,Benzine,Handgeschakeld,124,5,60,30000,615
Audi,A1 Sportback,25 TFSI Advanced edition,2025,32940,Benzine,Handgeschakeld,124,5,60,40000,660
Audi,A1 Sportback,25 TFSI S tronic S edition,2025,37540,Benzine,Automaat,129,5,36,20000,722
Audi,A1 Sportback,25 TFSI S tronic S edition,2025,37540,Benzine,Automaat,129,5,36,30000,771
Audi,A1 Sportback,25 TFSI S tronic S edition,2025,37540,Benzine,Automaat,129,5,36,40000,819
Audi,A1 Sportback,25 TFSI S tronic S edition,2025,37540,Benzine,Automaat,129,5,48,20000,667
Audi,A1 Sportback,25 TFSI S tronic S edition,2025,37540,Benzine,Automaat,129,5,48,30000,714
Audi,A1 Sportback,25 TFSI S tronic S edition,2025,37540,Benzine,Automaat,129,5,48,40000,759
